Vernier Format 2
Y-M1-T1.cmbl 10/2/17 3:38 PM .
Latest
Time	Position	Velocity	Acceleration
t	x	v	acc
s	m	m/s	m/s²

8.8	0.7263025	0.503924166667	-1.41408101852
8.85	0.750141	0.379967777778	-2.67794074074
8.9	0.7660905	0.208467777778	-3.31905432099
8.95	0.7715785	0.0225808333333	-3.38199058642
9	0.7671195	-0.143107222222	-3.11574212963
9.05	0.755629	-0.280116666667	-2.86442052469
9.1	0.741223	-0.439230555556	-2.29296558642
9.15	0.710696	-0.560995555556	-0.735597376543
9.2	0.6775965	-0.53165	1.21267438272
9.25	0.6539295	-0.411218888889	2.65486234568
9.3	0.6350645	-0.242100833333	3.52051388889
9.35	0.628033	-0.0366819444444	3.78845617284
9.4	0.631806	0.160638333333	3.47176342593
9.45	0.6453545	0.328231944444	2.69842546296
9.5	0.6666205	0.444566111111	1.57107762346
9.55	0.692517	0.493729444444	0.247986882716
9.6	0.7190995	0.468480833333	-1.06726990741
9.65	0.741909	0.378252777778	-2.19647037037
9.7	0.7585445	0.241719722222	-3.11007839506
9.75	0.76832	0.0549752777778	-3.66559018519
9.8	0.7650615	-0.151968055556	-3.58640905864
9.85	0.7520275	-0.3335675	-2.8501129784
9.9	0.7290465	-0.450930666667	-1.85405791667
9.95	0.703493	-0.502447361111	-1.11106063272
10	0.676739	-0.525552222222	-0.693103487654
